 Pujara would have been not out if DRS review was taken,1
 Theatre to hold free screening for homeless in UK,0
 Morgan Stanley executives earn ₹71 cr post Trump&#39;s victory,1
 Glowing &#39;halo&#39; around sun observed in North Russia,1
" Won&#39;t sell to Muslims, Clinton backers: US gun store ad",1
 Corruption report against me nothing but a mischief: Rijiju,1
 Taiwan may be first to legalise same-sex marriages in Asia,1
 Russia rejects Japan&#39;s &#39;dog diplomacy&#39; ahead of Putin visit,0
 Trump win a chance to end anti-Russia sanctions: Russia,1
 Modi govt trying to save anti-Sikh riots accused: Phoolka,1
 Street in Pennsylvania gets covered in foam due to leakage ,0
 Pak actress Saba gets death threats over Irrfan&#39;s statement,0
 Electronic toll collection to be launched later in November,1
 Ali Zafar hasn&#39;t been replaced in Dear Zindagi: Alia,1
 PwC India allows women up to 3 years leave for childcare,1
 Swiss probe confirms spying during Iran nuclear talks,1
 Sharmila 1st bikini-clad Indian actress on magazine cover ,0
 Punjab poll panel sends notice to AAP over Dalit manifesto,1
 Congress Prez Sonia Gandhi admitted to hospital in Delhi,1
 Sehwag helps farmer&#39;s son get prosthetic leg,1
 Mistry caused loss of tens of thousands of crores: Tata Sons,0
 &#39;World&#39;s steepest roller coaster&#39; is in Japan,1
 Ashwin becomes leading Test wicket-taker of 2016,1
 Trump chooses campaign rival Ben Carson as housing secretary,1
 Instagram fixes bug that made Singapore-tagged posts viral,0
 Infiltration of militants into J&amp;K rises over 100% in 2016,1
 Rajya Sabha passes Rights of Persons with Disabilities Bill,0
 Exchange limit to be reduced from ₹4500 to ₹2000 from Nov 18,1
" Narwhals, tusked whales of the Arctic, see with sound",1
 Researchers give &#39;Harry Potter&#39; name to new spider species,0
 Ronaldo&#39;s gesture to young forward suffering from cancer,1
" Microsoft is working on the ultimate phone, says CEO Nadella",1
 India slams UNSC for delay in &#34;sanctioning&#34; terrorists,1
 Same umpire was officiating during Sachin&#39;s top 3 ODI scores,1
 Ukraine offers to build &#39;Air Force One&#39; for Trump,0
 Startup makes recyclable shoes from plastic bottles,1
" Who is Lt General Bipin Rawat, the new Army Chief of Staff?",0
 Apple pulls watchOS update after reports of bricked watches,0
 New Google ad shows how to store printed photos digitally,1
 Ukraine&#39;s ₹44.5k cr fine on gas company illegal: Russia,0
 Du Plessis charged with ball tampering by ICC,1
 Only people with illegal money need to worry: Naidu,1
 Strict action against those responsible for accident: Prabhu,1
 Indian Railways unveils 3-tier AC train Humsafar Express,0
 Russia launches female genital mutilation probe,1
 Jayant Yadav drives ball through the legs of the fielder,0
" If I wasn’t a model, I’d be a boxer: Adriana Lima",1
 YouTube Kids launched in India,1
 Artist creates illustrations on No-Shave November for women,1
 Kareena delivery date is December 20: Randhir Kapoor,1
 BJP MP demands &#39;Bharat Ratna&#39; for Dalai Lama,1
 Centre to form sub-committee of CMs over demonetisation,1
 UP official suspended for posting Modi&#39;s objectionable image,1
" Amit Shah calls SP, BSP, Congress ‘poisonous snakes’",1
 Pakistani cricketers sustain injuries in Karachi hotel blaze,0
